region_id,Zoning
8b2a8ac65c51fff,5
8b2a8ac75b09fff,15
8b2a8ac6476efff,0
8b2a8ac62918fff,15
8b2a8ac64795fff,15
8b2a8ac61b89fff,3
8b2a8ac6218bfff,15
8b2a8ad4ad4dfff,15
8b2a8ac6cb74fff,6
8b2a8ac64813fff,0
8b2a8ad5bb4dfff,15
8b2a8ac6119afff,15
8b2a8a8930aafff,15
8b2a8ac63cdcfff,15
8b2a8ad4ac30fff,15
8b2a8ad4b4abfff,2
8b2a8a89640dfff,0
8b2a8ac64229fff,0
8b2a8ac6565cfff,5
8b2a8ac64b5afff,1
8b2a8ac6670dfff,15
8b2a8ad4b58efff,2
8b2a8ac660c9fff,15
8b2a8ac61a58fff,3
8b2a8ac6380cfff,15
8b2a8ac65092fff,5
8b2a8a892566fff,0
8b2a8ac66933fff,15
8b2a8ac65243fff,0
8b2a8a893446fff,6
8b2a8ac6531bfff,0
8b2a8ac6531bfff,11
8b2a8a892630fff,3
8b2a8ac65da9fff,1
8b2a8ac664adfff,15
8b2a8ac6c226fff,10
8b2a8ac64840fff,2
8b2a8ac6560dfff,5
8b2a8ac64331fff,0
8b2a8ad4b714fff,0
8b2a8ac6175bfff,15
8b2a8ad4a36bfff,1
8b2a8ad4a0ebfff,0
8b2a8ad59650fff,15
8b2a8ac60d84fff,15
8b2a8ad4aa26fff,2
8b2a8ad4aa26fff,0
8b2a8ad4ab70fff,2
8b2a8ad4ab70fff,0
8b2a8ac66244fff,15
8b2a8a892033fff,10
8b2a8ac64b88fff,8
8b2a8ac65965fff,1
8b2a8ac65965fff,11
8b2a8a892accfff,1
8b2a8ac63aa6fff,15
8b2a8ac6055efff,15
8b2a8ac610e8fff,15
8b2a8ac66cddfff,9
8b2a8ad4a0c4fff,0
8b2a8a893586fff,6
8b2a8ac6511efff,4
8b2a8ac6130efff,15
8b2a8ac61c6efff,3
